,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing Position,Minutes,Score At,Type,Goal assist
522,16_17,LaLiga,37,2017-05-14,Home,RM,Sevilla FC,4:1,LW,23,02:00,Right-footed shot,
523,16_17,LaLiga,37,2017-05-14,Home,RM,Sevilla FC,4:1,LW,78,03:01,Left-footed shot,Toni Kroos
524,16_17,LaLiga,21,2017-05-17,Away,RM,Celta de Vigo,1:4,CF,10,00:01,Left-footed shot,
525,16_17,LaLiga,21,2017-05-17,Away,RM,Celta de Vigo,1:4,CF,48,00:02,Left-footed shot,Isco
526,16_17,LaLiga,38,2017-05-21,Away,RM,Malaga CF,0:2,CF,2,00:01,Right-footed shot,Isco
527,16_17,UEFA Champions League,Final,2017-06-03,Away,RM,Juventus FC,1:4,CF,20,00:01,Right-footed shot,Daniel Carvajal
528,16_17,UEFA Champions League,Final,2017-06-03,Away,RM,Juventus FC,1:4,CF,64,01:03,Right-footed shot,Luka Modric
529,17_18,Supercopa,final,2017-08-13,Away,RM,FC Barcelona,1:3,CF,80,01:02,Right-footed shot,Isco
530,17_18,UEFA Champions League,Group Stage,2017-09-13,Home,RM,APOEL Nicosia,3:0,CF,12,01:00,Counter attack goal,Gareth Bale
531,17_18,UEFA Champions League,Group Stage,2017-09-13,Home,RM,APOEL Nicosia,3:0,CF,51,02:00,Penalty,
532,17_18,UEFA Champions League,Group Stage,2017-09-26,Away,RM,Borussia Dortmund,1:3,CF,49,00:02,Left-footed shot,Gareth Bale
533,17_18,UEFA Champions League,Group Stage,2017-09-26,Away,RM,Borussia Dortmund,1:3,CF,79,01:03,Right-footed shot,Luka Modric
534,17_18,LaLiga,8,2017-10-14,Away,RM,Getafe CF,1:2,CF,85,01:02,Right-footed shot,Isco
535,17_18,UEFA Champions League,Group Stage,2017-10-17,Home,RM,Tottenham Hotspur,1:1,LW,43,01:01,Penalty,
536,17_18,UEFA Champions League,Group Stage,2017-11-01,Away,RM,Tottenham Hotspur,3:1,LW,80,03:01,Right-footed shot,Borja Mayoral
537,17_18,UEFA Champions League,Group Stage,2017-11-21,Away,RM,APOEL Nicosia,0:6,LW,49,00:05,Header,Marcelo
538,17_18,UEFA Champions League,Group Stage,2017-11-21,Away,RM,APOEL Nicosia,0:6,LW,54,00:06,Left-footed shot,
539,17_18,LaLiga,13,2017-11-25,Home,RM,Malaga CF,3:2,CF,76,03:02,Penalty rebound,
540,17_18,UEFA Champions League,Group Stage,2017-12-06,Home,RM,Borussia Dortmund,3:2,LW,12,02:00,Right-footed shot,Mateo Kovacic
541,17_18,LaLiga,15,2017-12-09,Home,RM,Sevilla FC,5:0,CF,23,02:00,Right-footed shot,Marco Asensio
542,17_18,LaLiga,15,2017-12-09,Home,RM,Sevilla FC,5:0,CF,31,03:00,Penalty,
543,17_18,FIFA Club World Cup,Semi-Finals,2017-12-13,Away,RM,Al-Jazira (Abu Dhabi),1:2,LW,53,01:01,Right-footed shot,Luka Modric
544,17_18,FIFA Club World Cup,Final,2017-12-16,Home,RM,Grêmio Foot-Ball Porto Alegrense,1:0,LW,53,01:00,Direct free kick,
545,17_18,LaLiga,20,2018-01-21,Home,RM,Deportivo de La Coruña,7:1,LW,78,05:01,Left-footed shot,Casemiro
546,17_18,LaLiga,20,2018-01-21,Home,RM,Deportivo de La Coruña,7:1,LW,84,06:01,Header,Lucas Vazquez
547,17_18,LaLiga,21,2018-01-27,Away,RM,Valencia CF,1:4,LW,16,00:01,Penalty,
548,17_18,LaLiga,21,2018-01-27,Away,RM,Valencia CF,1:4,LW,38,00:02,Penalty,
549,17_18,LaLiga,23,2018-02-10,Home,RM,Real Sociedad,5:2,CF,27,02:00,Right-footed shot,Marcelo
550,17_18,LaLiga,23,2018-02-10,Home,RM,Real Sociedad,5:2,CF,37,04:00,Header,Luka Modric
551,17_18,LaLiga,23,2018-02-10,Home,RM,Real Sociedad,5:2,CF,80,05:01,Tap-in,
552,17_18,UEFA Champions League,last 16,2018-02-14,Home,RM,Paris Saint-Germain,3:1,LW,45,01:01,Penalty,
553,17_18,UEFA Champions League,last 16,2018-02-14,Home,RM,Paris Saint-Germain,3:1,LW,83,02:01,Tap-in,
554,17_18,LaLiga,24,2018-02-18,Away,RM,Real Betis Balompie,3:5,CF,65,02:04,Right-footed shot,Casemiro
555,17_18,LaLiga,25,2018-02-24,Home,RM,Deportivo Alaves,4:0,CF,44,01:00,Left-footed shot,Karim Benzema
556,17_18,LaLiga,25,2018-02-24,Home,RM,Deportivo Alaves,4:0,CF,61,03:00,Right-footed shot,Lucas Vazquez
557,17_18,LaLiga,27,2018-03-03,Home,RM,Getafe CF,3:1,CF,45+1,02:00,Left-footed shot,Karim Benzema
558,17_18,LaLiga,27,2018-03-03,Home,RM,Getafe CF,3:1,CF,78,03:01,Header,Marcelo
559,17_18,UEFA Champions League,last 16,2018-03-06,Away,RM,Paris Saint-Germain,1:2,CF,51,00:01,Header,Lucas Vazquez
560,17_18,LaLiga,28,2018-03-10,Away,RM,SD Eibar,1:2,CF,33,00:01,Right-footed shot,Luka Modric
561,17_18,LaLiga,28,2018-03-10,Away,RM,SD Eibar,1:2,CF,84,01:02,Header,Daniel Carvajal
562,17_18,LaLiga,29,2018-03-18,Home,RM,Girona FC,6:3,CF,11,01:00,Left-footed shot,Toni Kroos
563,17_18,LaLiga,29,2018-03-18,Home,RM,Girona FC,6:3,CF,47,02:01,Left-footed shot,Karim Benzema
564,17_18,LaLiga,29,2018-03-18,Home,RM,Girona FC,6:3,CF,64,04:01,Tap-in,
565,17_18,LaLiga,29,2018-03-18,Home,RM,Girona FC,6:3,CF,90+1,06:03,Right-footed shot,Toni Kroos
566,17_18,UEFA Champions League,Quarter-Finals,2018-04-03,Away,RM,Juventus FC,0:3,CF,3,00:01,Right-footed shot,Isco
567,17_18,UEFA Champions League,Quarter-Finals,2018-04-03,Away,RM,Juventus FC,0:3,CF,64,00:02,Right-footed shot,Daniel Carvajal
568,17_18,LaLiga,31,2018-04-08,Home,RM,Atletico de Madrid,1:1,CF,53,01:00,Right-footed shot,Gareth Bale
569,17_18,UEFA Champions League,Quarter-Finals,2018-04-11,Home,RM,Juventus FC,1:3,CF,90+7,01:03,Penalty,
570,17_18,LaLiga,33,2018-04-18,Home,RM,Athletic Bilbao,1:1,CF,87,01:01,Right-footed shot,Luka Modric
571,17_18,LaLiga,36,2018-05-06,Away,RM,FC Barcelona,2:2,LW,14,01:01,Right-footed shot,Karim Benzema
572,17_18,LaLiga,38,2018-05-19,Away,RM,Villarreal CF,2:2,CF,32,00:02,Header,Marcelo
573,18_19,Serie A,4,2018-09-16,Home,Juv,US Sassuolo,2:1,CF,50,01:00,Tap-in,
574,18_19,Serie A,4,2018-09-16,Home,Juv,US Sassuolo,2:1,CF,65,02:00,Left-footed shot,Emre Can
575,18_19,Serie A,5,2018-09-23,Away,Juv,Frosinone Calcio,0:2,LW,81,00:01,Left-footed shot,
576,18_19,Serie A,8,2018-10-06,Away,Juv,Udinese Calcio,0:2,LW,37,00:02,Left-footed shot,Mario Mandzukic
577,18_19,Serie A,9,2018-10-20,Home,Juv,Genoa CFC,1:1,LW,18,01:00,Tap-in,
578,18_19,Serie A,10,2018-10-27,Away,Juv,Empoli FC ,1:2,CF,54,01:01,Penalty,
579,18_19,Serie A,10,2018-10-27,Away,Juv,Empoli FC ,1:2,CF,70,01:02,Right-footed shot,Blaise Matuidi
580,18_19,UEFA Champions League,Group Stage,2018-11-07,Home,Juv,Manchester United,1:2,CF,65,01:00,Right-footed shot,Leonardo Bonucci
581,18_19,Serie A,12,2018-11-11,Away,Juv,AC Milan,0:2,LW,81,00:02,Tap-in,
582,18_19,Serie A,13,2018-11-24,Home,Juv,SPAL,2:0,CF,29,01:00,Left-footed shot,Miralem Pjanic
583,18_19,Serie A,14,2018-12-01,Away,Juv,ACF Fiorentina,0:3,LW,79,00:03,Penalty,
584,18_19,Serie A,16,2018-12-15,Away,Juv,Torino FC,0:1,LW,70,00:01,Penalty,
585,18_19,Serie A,18,2018-12-26,Away,Juv,Atalanta BC,2:2,CF,78,02:02,Header,Giorgio Chiellini
586,18_19,Serie A,19,2018-12-29,Home,Juv,UC Sampdoria,2:1,LW,2,01:00,Right-footed shot,Paulo Dybala
587,18_19,Serie A,19,2018-12-29,Home,Juv,UC Sampdoria,2:1,LW,65,02:01,Penalty,
588,18_19,Supercoppa Italiana,Final,2019-01-16,Home,Juv,AC Milan,1:0,LW,61,01:00,Header,Miralem Pjanic
589,18_19,Serie A,21,2019-01-27,Away,Juv,SS Lazio,1:2,LW,88,01:02,Penalty,
590,18_19,Serie A,22,2019-02-02,Home,Juv,Parma Calcio 1913,3:3,LW,36,01:00,Right-footed shot,Blaise Matuidi
591,18_19,Serie A,22,2019-02-02,Home,Juv,Parma Calcio 1913,3:3,LW,66,03:01,Header,Mario Mandzukic
592,18_19,Serie A,23,2019-02-10,Away,Juv,US Sassuolo,0:3,LW,70,00:02,Header,Miralem Pjanic
593,18_19,Serie A,24,2019-02-15,Home,Juv,Frosinone Calcio,3:0,LW,63,03:00,Right-footed shot,Mario Mandzukic
594,18_19,UEFA Champions League,last 16,2019-03-12,Home,Juv,Atletico de Madrid,3:0,CF,27,01:00,Header,Federico Bernardeschi
595,18_19,UEFA Champions League,last 16,2019-03-12,Home,Juv,Atletico de Madrid,3:0,CF,49,02:00,Header,José Callejón
596,18_19,UEFA Champions League,last 16,2019-03-12,Home,Juv,Atletico de Madrid,3:0,CF,86,03:00,Penalty,
597,18_19,UEFA Champions League,Quarter-Finals,2019-04-10,Away,Juv,Ajax Amsterdam,1:1,LW,45,00:01,Header,José Callejón
598,18_19,UEFA Champions League,Quarter-Finals,2019-04-16,Home,Juv,Ajax Amsterdam,1:2,LW,28,01:00,Header,Miralem Pjanic
599,18_19,Serie A,34,2019-04-27,Away,Juv,Inter Milan,1:1,CF,62,01:01,Left-footed shot,Miralem Pjanic
600,18_19,Serie A,35,2019-05-03,Home,Juv,Torino FC,1:1,CF,84,01:01,Header,Leonardo Spinazzola
601,19_20,Serie A,2,2019-08-31,Home,Juv,SSC Napoli,4:3,LW,62,03:00,Left-footed shot,Douglas Costa
602,19_20,Serie A,4,2019-09-21,Home,Juv,Hellas Verona,2:1,LW,49,02:01,Penalty,
603,19_20,Serie A,6,2019-09-28,Home,Juv,SPAL,2:0,CF,78,02:00,Header,Paulo Dybala
604,19_20,UEFA Champions League,Group Stage,2019-10-01,Home,Juv,Bayer 04 Leverkusen,3:0,CF,89,03:00,Right-footed shot,Paulo Dybala
605,19_20,Serie A,8,2019-10-19,Home,Juv,Bologna FC 1909,2:1,CF,19,01:00,Right-footed shot,
606,19_20,Serie A,10,2019-10-30,Home,Juv,Genoa CFC,2:1,CF,90+6,02:01,Penalty,
607,19_20,Serie A,14,2019-12-01,Home,Juv,US Sassuolo,2:2,CF,68,02:02,Penalty,
608,19_20,Serie A,15,2019-12-07,Away,Juv,SS Lazio,3:1,CF,25,00:01,Tap-in,Rodrigo Bentancur
609,19_20,UEFA Champions League,Group Stage,2019-12-11,Away,Juv,Bayer 04 Leverkusen,0:2,CF,75,00:01,Right-footed shot,Paulo Dybala
610,19_20,Serie A,16,2019-12-15,Home,Juv,Udinese Calcio,3:1,CF,9,01:00,Right-footed shot,
611,19_20,Serie A,16,2019-12-15,Home,Juv,Udinese Calcio,3:1,CF,37,02:00,Left-footed shot,Gonzalo Higuain
612,19_20,Serie A,17,2019-12-18,Away,Juv,UC Sampdoria,1:2,LW,45,01:02,Header,Alex Sandro
613,19_20,Serie A,18,2020-01-06,Home,Juv,Cagliari Calcio,4:0,CF,49,01:00,Right-footed shot,
614,19_20,Serie A,18,2020-01-06,Home,Juv,Cagliari Calcio,4:0,CF,67,02:00,Penalty,
615,19_20,Serie A,18,2020-01-06,Home,Juv,Cagliari Calcio,4:0,CF,82,04:00,Left-footed shot,Douglas Costa
616,19_20,Serie A,19,2020-01-12,Away,Juv,AS Roma,1:2,CF,10,00:02,Penalty,
617,19_20,Serie A,20,2020-01-19,Home,Juv,Parma Calcio 1913,2:1,CF,43,01:00,Deflected shot on goal,Blaise Matuidi
618,19_20,Serie A,20,2020-01-19,Home,Juv,Parma Calcio 1913,2:1,CF,58,02:01,Right-footed shot,Paulo Dybala
619,19_20,Italy Cup,Quarter-Finals,2020-01-22,Home,Juv,AS Roma,3:1,LW,26,01:00,Left-footed shot,Gonzalo Higuain
620,19_20,Serie A,21,2020-01-26,Away,Juv,SSC Napoli,2:1,LW,90,02:01,Right-footed shot,Rodrigo Bentancur
621,19_20,Serie A,22,2020-02-02,Home,Juv,ACF Fiorentina,3:0,LW,40,01:00,Penalty,
622,19_20,Serie A,22,2020-02-02,Home,Juv,ACF Fiorentina,3:0,LW,80,02:00,Penalty,
623,19_20,Serie A,23,2020-02-08,Away,Juv,Hellas Verona,2:1,LW,65,00:01,Right-footed shot,Rodrigo Bentancur
624,19_20,Italy Cup,Semi-Finals,2020-02-13,Away,Juv,AC Milan,1:1,LW,90+1,01:01,Penalty,
625,19_20,Serie A,25,2020-02-22,Away,Juv,SPAL,1:2,LW,39,00:01,Tap-in,Juan Cuadrado
626,19_20,Serie A,27,2020-06-22,Away,Juv,Bologna FC 1909,0:2,LW,23,00:01,Penalty,
627,19_20,Serie A,28,2020-06-26,Home,Juv,US Lecce,4:0,LW,62,02:00,Penalty,
628,19_20,Serie A,29,2020-06-30,Away,Juv,Genoa CFC,1:3,LW,56,00:02,Long distance kick,Miralem Pjanic
629,19_20,Serie A,30,2020-07-04,Home,Juv,Torino FC,4:1,LW,61,03:01,Direct free kick,
630,19_20,Serie A,31,2020-07-07,Away,Juv,AC Milan,4:2,LW,53,00:02,Left-footed shot,Juan Cuadrado
631,19_20,Serie A,32,2020-07-11,Home,Juv,Atalanta BC,2:2,LW,55,01:01,Penalty,
632,19_20,Serie A,32,2020-07-11,Home,Juv,Atalanta BC,2:2,LW,90,02:02,Penalty,
633,19_20,Serie A,34,2020-07-20,Home,Juv,SS Lazio,2:1,LW,51,01:00,Penalty,
634,19_20,Serie A,34,2020-07-20,Home,Juv,SS Lazio,2:1,LW,54,02:00,Counter attack goal,Paulo Dybala
635,19_20,Serie A,36,2020-07-26,Home,Juv,UC Sampdoria,2:0,LW,45+7,01:00,Right-footed shot,Miralem Pjanic
636,19_20,UEFA Champions League,last 16,2020-08-07,Home,Juv,Olympique Lyon,2:1,LW,43,01:01,Penalty,
637,19_20,UEFA Champions League,last 16,2020-08-07,Home,Juv,Olympique Lyon,2:1,LW,60,02:01,Left-footed shot,Federico Bernardeschi
638,20_21,Serie A,1,2020-09-20,Home,Juv,UC Sampdoria,3:0,CF,88,03:00,Right-footed shot,Aaron Ramsey
639,20_21,Serie A,2,2020-09-27,Away,Juv,AS Roma,2:2,CF,44,01:01,Penalty,
640,20_21,Serie A,2,2020-09-27,Away,Juv,AS Roma,2:2,CF,69,02:02,Header,Danilo
641,20_21,Serie A,6,2020-11-01,Away,Juv,Spezia Calcio,1:4,CF,59,01:02,Right-footed shot,alvaro Morata
642,20_21,Serie A,6,2020-11-01,Away,Juv,Spezia Calcio,1:4,CF,76,01:04,Penalty,
643,20_21,Serie A,7,2020-11-08,Away,Juv,SS Lazio,1:1,LW,15,00:01,Right-footed shot,Juan Cuadrado
644,20_21,Serie A,8,2020-11-21,Home,Juv,Cagliari Calcio,2:0,CF,38,01:00,Right-footed shot,alvaro Morata
645,20_21,Serie A,8,2020-11-21,Home,Juv,Cagliari Calcio,2:0,CF,42,02:00,Right-footed shot,Merih Demiral
646,20_21,UEFA Champions League,Group Stage,2020-11-24,Home,Juv,Ferencvarosi TC,2:1,CF,35,01:01,Left-footed shot,Juan Cuadrado
647,20_21,UEFA Champions League,Group Stage,2020-12-02,Home,Juv,Dynamo Kyiv,3:0,CF,57,02:00,Right-footed shot,alvaro Morata
648,20_21,UEFA Champions League,Group Stage,2020-12-08,Away,Juv,FC Barcelona,0:3,CF,13,00:01,Penalty,
649,20_21,UEFA Champions League,Group Stage,2020-12-08,Away,Juv,FC Barcelona,0:3,CF,52,00:03,Penalty,
650,20_21,Serie A,11,2020-12-13,Away,Juv,Genoa CFC,1:3,CF,78,01:02,Penalty,
651,20_21,Serie A,11,2020-12-13,Away,Juv,Genoa CFC,1:3,CF,89,01:03,Penalty,
652,20_21,Serie A,13,2020-12-19,Away,Juv,Parma Calcio 1913,0:4,CF,26,00:02,Header,alvaro Morata
653,20_21,Serie A,13,2020-12-19,Away,Juv,Parma Calcio 1913,0:4,CF,48,00:03,Left-footed shot,Aaron Ramsey
654,20_21,Serie A,15,2021-01-03,Home,Juv,Udinese Calcio,4:1,CF,31,01:00,Right-footed shot,Aaron Ramsey
655,20_21,Serie A,15,2021-01-03,Home,Juv,Udinese Calcio,4:1,CF,70,03:00,Left-footed shot,Rodrigo Bentancur
656,20_21,Serie A,17,2021-01-10,Home,Juv,US Sassuolo,3:1,CF,90+2,03:01,Right-footed shot,Danilo
657,20_21,Supercoppa Italiana,Final,2021-01-20,Home,Juv,SSC Napoli,2:0,CF,64,01:00,Tap-in,
658,20_21,Italy Cup,Semi-Finals,2021-02-02,Away,Juv,Inter Milan,1:2,CF,26,01:01,Penalty,
659,20_21,Italy Cup,Semi-Finals,2021-02-02,Away,Juv,Inter Milan,1:2,CF,35,01:02,Left-footed shot,
660,20_21,Serie A,21,2021-02-06,Home,Juv,AS Roma,2:0,CF,13,01:00,Left-footed shot,alvaro Morata
661,20_21,Serie A,23,2021-02-22,Home,Juv,FC Crotone,3:0,CF,38,01:00,Header,Alex Sandro
662,20_21,Serie A,23,2021-02-22,Home,Juv,FC Crotone,3:0,CF,45+1,02:00,Header,Aaron Ramsey
663,20_21,Serie A,24,2021-02-27,Away,Juv,Hellas Verona,1:1,CF,49,00:01,Right-footed shot,Federico Chiesa
664,20_21,Serie A,25,2021-03-02,Home,Juv,Spezia Calcio,3:0,CF,89,03:00,Counter attack goal,Rodrigo Bentancur
665,20_21,Serie A,27,2021-03-14,Away,Juv,Cagliari Calcio,1:3,CF,10,00:01,Header,Juan Cuadrado
666,20_21,Serie A,27,2021-03-14,Away,Juv,Cagliari Calcio,1:3,CF,25,00:02,Penalty,
667,20_21,Serie A,27,2021-03-14,Away,Juv,Cagliari Calcio,1:3,CF,32,00:03,Left-footed shot,Federico Chiesa
668,20_21,Serie A,29,2021-04-03,Away,Juv,Torino FC,2:2,CF,79,02:02,Header,Giorgio Chiellini
669,20_21,Serie A,3,2021-04-07,Home,Juv,SSC Napoli,2:1,CF,13,01:00,Right-footed shot,Federico Chiesa
670,20_21,Serie A,34,2021-05-02,Away,Juv,Udinese Calcio,1:2,CF,83,01:01,Penalty,
671,20_21,Serie A,34,2021-05-02,Away,Juv,Udinese Calcio,1:2,CF,89,01:02,Header,Adrien Rabiot
672,20_21,Serie A,36,2021-05-12,Away,Juv,US Sassuolo,1:3,CF,45,00:02,Left-footed shot,
673,20_21,Serie A,37,2021-05-15,Home,Juv,Inter Milan,3:2,CF,24,01:00,Penalty rebound,
674,21_22,Premier League,4,2021-09-11,Home,Man.United,Newcastle United,4:1,CF,45+2,01:00,Tap-in,
675,21_22,Premier League,4,2021-09-11,Home,Man.United,Newcastle United,4:1,CF,62,02:01,Left-footed shot,Luke Shaw
676,21_22,UEFA Champions League,Group Stage,2021-09-14,Away,Man.United,BSC Young Boys,2:1,CF,13,00:01,Right-footed shot,Bruno Fernandes
677,21_22,Premier League,5,2021-09-19,Away,Man.United,West Ham United,1:2,CF,35,01:01,Right-footed shot,
678,21_22,UEFA Champions League,Group Stage,2021-09-29,Home,Man.United,Villarreal CF,2:1,CF,90+5,02:01,Right-footed shot,Jesse Lingard
679,21_22,UEFA Champions League,Group Stage,2021-10-20,Home,Man.United,Atalanta BC,3:2,CF,81,03:02,Header,Luke Shaw
680,21_22,Premier League,10,2021-10-30,Away,Man.United,Tottenham Hotspur,0:3,CF,39,00:01,Right-footed shot,Bruno Fernandes
681,21_22,UEFA Champions League,Group Stage,2021-11-02,Away,Man.United,Atalanta BC,2:2,CF,45+1,01:01,Right-footed shot,Bruno Fernandes
682,21_22,UEFA Champions League,Group Stage,2021-11-02,Away,Man.United,Atalanta BC,2:2,CF,90+1,02:02,Right-footed shot,Mason Greenwood
683,21_22,UEFA Champions League,Group Stage,2021-11-23,Away,Man.United,Villarreal CF,0:2,CF,78,00:01,Right-footed shot,
684,21_22,Premier League,14,2021-12-02,Home,Man.United,Arsenal FC,3:2,CF,52,02:01,Right-footed shot,Marcus Rashford
685,21_22,Premier League,14,2021-12-02,Home,Man.United,Arsenal FC,3:2,CF,70,03:02,Penalty,
686,21_22,Premier League,16,2021-12-11,Away,Man.United,Norwich City,0:1,CF,75,00:01,Penalty,
687,21_22,Premier League,20,2021-12-30,Home,Man.United,Burnley FC,3:1,CF,35,03:00,Right-footed shot,
688,21_22,Premier League,18,2022-02-15,Home,Man.United,Brighton & Hove Albion,2:0,CF,51,01:00,Right-footed shot,Scott McTominay
689,21_22,Premier League,29,2022-03-12,Home,Man.United,Tottenham Hotspur,3:2,CF,12,01:00,Right-footed shot,Fred
690,21_22,Premier League,29,2022-03-12,Home,Man.United,Tottenham Hotspur,3:2,CF,38,02:01,Right-footed shot,Jadon Sancho
691,21_22,Premier League,29,2022-03-12,Home,Man.United,Tottenham Hotspur,3:2,CF,81,03:02,Header,Alex Telles
692,21_22,Premier League,33,2022-04-16,Home,Man.United,Norwich City,3:2,CF,7,01:00,Right-footed shot,Anthony Elanga
693,21_22,Premier League,33,2022-04-16,Home,Man.United,Norwich City,3:2,CF,32,02:00,Header,Alex Telles
694,21_22,Premier League,33,2022-04-16,Home,Man.United,Norwich City,3:2,CF,76,03:02,Direct free kick,
695,21_22,Premier League,34,2022-04-23,Away,Man.United,Arsenal FC,3:1,CF,34,02:01,Left-footed shot,Nemanja Matić
696,21_22,Premier League,37,2022-04-28,Home,Man.United,Chelsea FC,1:1,CF,62,01:01,Right-footed shot,Nemanja Matić
697,21_22,Premier League,35,2022-05-02,Home,Man.United,Brentford FC,3:0,CF,61,02:00,Penalty,
